pregunta,pregunta_limpia,respuesta,label
Hola,hola,¡Hola! ¿En qué puedo ayudarte?,saludos
"Hola, ¿cómo te va?",hola ir,¡Hola! Estoy aquí para responder tus preguntas.,saludos
Buen día,buen dia,¡Buen día! ¿En qué puedo ayudarte?,saludos
¡Hola! ¿Qué tal estás hoy?,hola tal hoy,"Estoy bien, gracias. ¿En qué puedo ayudarte?",saludos
Hola ¡Saludos!,hola saludos,¡Saludos! ¿Qué puedo hacer por ti?,saludos
"Hola, alguien ahi!",hola alguien ahi,"¡Hola! Soy tu asistente, ¿en qué puedo ayudarte?",saludos
"Hola, ¿qué tal?",hola tal,Hey! ¿En qué puedo ayudarte?,saludos
Buenas tardes,buena tarde,¡Buenas tardes! ¿En qué puedo ayudarte?,saludos
"Hola, ¿cómo estás?",hola,"Estoy bien, gracias. ¿Y tú?",saludos
¡Buenos días!,buen dia,¡Buenos días! ¿En qué puedo ayudarte?,saludos
Gracias,gracias,"De nada, ¡estoy aquí para ayudarte!",agradecimiento
Muchas gracias,gracia,¡Siempre es un placer ayudarte!,agradecimiento
Te agradezco,agradecer,"No hay problema, ¡siempre estoy dispuesto a ayudar!",agradecimiento
Estoy agradecido,agradecido,¡No hay de qué! Me alegra poder ayudarte.,agradecimiento
Qué amable,amable,¡De nada! Estoy aquí para ayudarte en lo que necesites.,agradecimiento
Muy amable,amable,"No hay problema, ¡estoy para ayudar en lo que necesites!",agradecimiento
Mil gracias,mil gracia,¡Siempre es un placer ayudarte! ¡Cuenta conmigo!,agradecimiento
Gracias por todo,gracias,¡No hay de qué! ¡Estoy para ayudar en todo lo que necesites!,agradecimiento
Gracias por la ayuda,gracias ayuda,¡Estoy aquí para ayudarte siempre que lo necesites!,agradecimiento
Gracias por tu tiempo,gracias tiempo,¡Gracias a ti por confiar en mí! ¡Estoy para ayudarte en lo que necesites!,agradecimiento
Adiós,adio,¡Hasta luego!,despedida
Hasta luego,luego,¡Adiós!,despedida
Nos vemos,ver,Que tengas un buen día,despedida
Chao,chao,Hasta la vista,despedida
Hasta la próxima,proximo,¡Nos vemos pronto!,despedida
Hasta pronto,pronto,¡Chao!,despedida
Que estés bien,estes bien,Cuídate,despedida
Nos vemos pronto,ver pronto,¡Fue un placer hablar contigo también!,despedida
Hasta la vista,vista,¡Hasta la próxima!,despedida
Fue un placer hablar contigo,ser placer hablar,¡Que tengas un buen día también!,despedida
¿Cuál es la masa de Mercurio?,ser masa mercurio,La masa de Mercurio es de aproximadamente 3.3 x 10 elevado a la 23 kilogramos.,mercurio_masa
¿Qué tanto pesa Mercurio?,pesar mercurio,Mercurio tiene una masa de alrededor de 3.3 x 10 elevado a la 23 kilogramos.,mercurio_masa
¿Cuánto es la masa de Mercurio?,cuanto ser masa mercurio,La masa de Mercurio es de unos 3.3 x 10 elevado a la 23 kilos.,mercurio_masa
¿Sabes cuál es el peso de Mercurio?,saber ser peso mercurio,El peso de Mercurio es de aproximadamente 3.3 x 10 elevado a la 23 kilogramos.,mercurio_masa
¿Cuánta masa tiene Mercurio?,cuanta masa tener mercurio,La masa de Mercurio es de alrededor de 3.3 x 10 elevado a la 23 kilogramos.,mercurio_masa
¿Podrías decirme la masa de Mercurio?,podrias decirme masa mercurio,Mercurio pesa alrededor de 3.3 x 10 elevado a la 23 kilogramos.,mercurio_masa
¿Cuánto pesa el planeta Mercurio?,cuanto pesar planeta mercurio,La masa de Mercurio es cerca de 3.3 x 10 elevado a la 23 kilogramos.,mercurio_masa
¿Cuál es el peso de Mercurio comparado con la Tierra?,ser peso mercurio comparado tierra,El peso de Mercurio es aproximadamente 0.055 veces el de la Tierra.,mercurio_masa
¿Qué tan grande es la masa de Mercurio?,grande ser masa mercurio,La masa de Mercurio es aproximadamente un 5.5% de la masa de la Tierra.,mercurio_masa
¿Es cierto que Mercurio es el planeta más pequeño del Sistema Solar en términos de masa?,ser cierto mercurio ser planeta mas pequeño sistema solar termino masa,"Sí, Mercurio es el planeta más pequeño del Sistema Solar en términos de masa.",mercurio_masa
¿Cuál es el diámetro de Mercurio?,ser diametro mercurio,El diámetro de Mercurio es de 4.880  Kilometros .,mercurio_tamaño
¿Cuál es el tamaño de Mercurio?,ser tamaño mercurio,El tamaño de Mercurio es de aproximadamente un tercio del tamaño de la Tierra.,mercurio_tamaño
¿Cuál es el radio de Mercurio?,ser radio mercurio,El radio de Mercurio es de 2.440  Kilometros .,mercurio_tamaño
¿Qué tan grande es Mercurio?,grande ser mercurio,"Mercurio es el planeta más pequeño del sistema solar, con un tamaño de 4.880  Kilometros  de diámetro.",mercurio_tamaño
¿Cuál es el volumen de Mercurio?,ser volumen mercurio,El volumen de Mercurio es de aproximadamente 6.083 x 10 elevado a la 10  kilometros cubicos .,mercurio_tamaño
¿Cuál es la circunferencia de Mercurio?,ser circunferencia mercurio,La circunferencia de Mercurio es de 15.329  Kilometros .,mercurio_tamaño
¿Qué tan grande es Mercurio en comparación con la Tierra?,grande ser mercurio comparación tierra,Mercurio es aproximadamente un tercio del tamaño de la Tierra.,mercurio_tamaño
¿Cuántas veces cabe la Tierra en Mercurio?,cuanta vez caber tierra mercurio,La Tierra cabe alrededor de 18 veces en Mercurio.,mercurio_tamaño
¿Cuánto pesaría un objeto de 100 kilogramos en Mercurio?,cuanto pasaria objeto 100 kilogramo mercurio,Un objeto de 100 kilogramos pesaría aproximadamente 38 kilogramos en Mercurio debido a su menor gravedad.,mercurio_tamaño
¿Cuál es la gravedad en la superficie de Mercurio?,ser gravedad superficie mercurio,"La gravedad en la superficie de Mercurio es de 3,7 metros sobre segundo al cuadrado, aproximadamente un tercio de la gravedad en la superficie de la Tierra.",mercurio_tamaño
¿Mercurio tiene lunas?,mercurio tener luna,Mercurio no tiene lunas.,mercurio_lunas
¿Existe alguna luna en Mercurio?,existir alguno luna mercurio,No se ha encontrado ninguna luna en Mercurio.,mercurio_lunas
¿Cuántas lunas tiene Mercurio?,cuanta luna tener mercurio,Mercurio no tiene lunas conocidas.,mercurio_lunas
¿Hay alguna luna orbitando Mercurio?,haber alguno luna orbitar mercurio,No hay lunas orbitando Mercurio.,mercurio_lunas
¿Podría haber lunas en Mercurio?,podriar haber luna mercurio,Se cree que Mercurio no tiene lunas debido a su proximidad al Sol y su pequeño tamaño.,mercurio_lunas
¿Cuál es el nombre de la luna de Mercurio?,ser nombre luna mercurio,Mercurio no tiene ninguna luna conocida.,mercurio_lunas
¿Existen satélites naturales en Mercurio?,existir satelit natural mercurio,No se ha descubierto ninguna luna o satélite natural en Mercurio.,mercurio_lunas
¿Se han descubierto lunas en Mercurio?,haber descubrir luna mercurio,La falta de lunas en Mercurio se debe a su cercanía al Sol y su pequeño tamaño.,mercurio_lunas
¿Por qué Mercurio no tiene lunas?,mercurio tener luna,La ausencia de lunas en Mercurio no parece tener un gran efecto en el planeta debido a su proximidad al Sol y su pequeño tamaño.,mercurio_lunas
¿Cómo afecta la falta de lunas a Mercurio?,afectar falta luna mercurio,Mercurio no tiene satélites naturales conocidos.,mercurio_lunas
¿Tiene Mercurio atmósfera?,tener mercurio atmosfero,"Mercurio tiene una atmósfera muy tenue compuesta principalmente por pequeñas cantidades de hidrógeno, helio, oxígeno, sodio, calcio y potasio.",mercurio_atmosfera
¿Cuál es la atmósfera de Mercurio?,ser atmosfera mercurio,"La atmósfera de Mercurio es muy tenue, con una presión superficial máxima de solo 0,5 nanobares.",mercurio_atmosfera
¿Existe aire en Mercurio?,existir aire mercurio,No hay aire en Mercurio ya que su atmósfera es muy tenue.,mercurio_atmosfera
¿Cómo es la atmósfera de Mercurio?,ser atmosfera mercurio,"La atmósfera de Mercurio está compuesta principalmente por gases como hidrógeno, helio, oxígeno, sodio, calcio y potasio.",mercurio_atmosfera
¿Qué gases componen la atmósfera de Mercurio?,gas componer atmosfera mercurio,"Debido a la falta de una atmósfera significativa, es improbable que haya vida en Mercurio.",mercurio_atmosfera
¿Puede existir vida en Mercurio debido a su atmósfera?,poder existir vida mercurio debido atmosfera,"La atmósfera de Mercurio es muy delgada, con una densidad superficial de solo 0,5 nanobares.",mercurio_atmosfera
¿Qué tan densa es la atmósfera de Mercurio?,denso ser atmosfera mercurio,No hay presión atmosférica significativa en Mercurio debido a su atmósfera tenue.,mercurio_atmosfera
¿Hay presión atmosférica en Mercurio?,haber presion atmosférico mercurio,La atmósfera de Mercurio no tiene un impacto significativo en la temperatura en el planeta debido a su falta de densidad.,mercurio_atmosfera
¿Cómo afecta la atmósfera de Mercurio a la temperatura en el planeta?,afectar atmosfera mercurio temperatura planeta,"Debido a la falta de una atmósfera significativa, no ocurren fenómenos atmosféricos notables en Mercurio.",mercurio_atmosfera
¿Qué fenómenos atmosféricos ocurren en Mercurio?,fenomeno atmosférico ocurrir mercurio,"Aunque la atmósfera de Mercurio es muy delgada, se ha observado que sufre efectos de erosión por el viento solar y otros fenómenos.",mercurio_atmosfera
¿De qué color es Mercurio?,color ser mercurio,"Mercurio es principalmente de color gris, pero también presenta tonos marrones y rojizos debido a la presencia de hierro y otros minerales en su superficie.",mercurio_color
¿Cuál es el color de Mercurio?,ser color mercurio,"El color predominante de Mercurio es gris, pero también se pueden observar tonos marrones y rojizos.",mercurio_color
Háblame del color de Mercurio,hablamir color mercurio,"Mercurio es mayormente gris, aunque también tiene tonos marrones y rojizos debido a la presencia de minerales como el hierro en su superficie.",mercurio_color
¿Mercurio tiene algún color en particular?,mercurio tener algun color particular,"El color de Mercurio es gris, pero también presenta matices marrones y rojizos.",mercurio_color
¿Cómo es el color de Mercurio?,ser color mercurio,"El color de Mercurio se asemeja al de la Luna, es decir, mayormente gris pero con algunos tonos marrones y rojizos.",mercurio_color
¿Es verdad que Mercurio es de color gris?,ser verdad mercurio ser color gris,"Sí, es cierto que Mercurio es principalmente de color gris, pero también presenta tonos marrones y rojizos debido a los minerales en su superficie.",mercurio_color
¿Qué color predomina en Mercurio?,color predominar mercurio,"El color predominante en Mercurio es el gris, aunque también se pueden observar tonos marrones y rojizos en su superficie.",mercurio_color
¿Se sabe por qué Mercurio tiene ese color?,saber mercurio tener color,"Los científicos creen que el color de Mercurio es principalmente gris debido a la gran cantidad de cráteres en su superficie, pero también se pueden observar tonos marrones y rojizos debido a los minerales presentes.",mercurio_color
¿Hay alguna explicación científica para el color de Mercurio?,haber alguno explicación cientifico color mercurio,"El color de Mercurio se debe a su superficie rocosa, que es principalmente de color gris, aunque también presenta matices marrones y rojizos debido a la presencia de minerales como el hierro.",mercurio_color
¿Es posible ver el color de Mercurio a simple vista?,ser posible ver color mercurio simple vista,"No es posible ver el color de Mercurio a simple vista, ya que se encuentra muy cerca del Sol y su brillo impide ver detalles en su superficie.",mercurio_color
¿Quién descubrió Mercurio?,descubrio mercurio,"Mercurio fue conocido por los antiguos griegos y romanos. Sin embargo, es difícil decir exactamente quién lo descubrió ya que no hay un registro histórico definitivo del descubrimiento. ",mercurio_descubrimiento
¿Cuándo fue descubierto Mercurio?,ser descubrir mercurio,"No se sabe con certeza quién descubrió Mercurio, pero se sabe que fue conocido por las civilizaciones antiguas. El primer registro de Mercurio se encuentra en textos sumerios de alrededor de 3,000 a.C.",mercurio_descubrimiento
¿Cómo fue descubierto Mercurio?,ser descubrir mercurio,"Mercurio fue descubierto por los antiguos griegos y romanos. Fue uno de los cinco planetas conocidos por los antiguos, junto con Venus, Marte, Júpiter y Saturno.",mercurio_descubrimiento
¿Quién fue el primer científico en observar Mercurio?,ser primero cientifico observar mercurio,El astrónomo y matemático griego Hiparco de Nicea fue el primer científico conocido en observar Mercurio. Lo observó en el siglo II a.C.,mercurio_descubrimiento
¿Cuál es la historia del descubrimiento de Mercurio?,ser historia descubrimiento mercurio,"La historia del descubrimiento de Mercurio se remonta a las civilizaciones antiguas, como los sumerios, babilonios, egipcios, griegos y romanos. Cada cultura tenía su propia forma de referirse a este planeta, y sus observaciones se transmitieron de generación en generación a través de textos y escritos antiguos.",mercurio_descubrimiento
¿Qué civilización descubrió Mercurio por primera vez?,civilización descubrio mercurio primero vez,"La civilización sumeria es una de las primeras en registrar el descubrimiento de Mercurio, alrededor de 3000 a.C. Los babilonios también lo conocían y lo observaban en el cielo. Los antiguos griegos y romanos también lo observaron, y los romanos lo llamaron Mercurio, el mensajero de los dioses.",mercurio_descubrimiento
¿Cómo se llamó Mercurio en la antigüedad?,llamo mercurio antiguedad,"En la antigua Grecia y Roma, Mercurio era conocido como Hermes o Mercurio. Los griegos lo llamaban Hermes, el mensajero de los dioses, y los romanos lo llamaban Mercurio, el mensajero de los dioses. ",mercurio_descubrimiento
¿Quién nombró a Mercurio en la antigüedad?,nombro mercurio antiguedad,"El planeta Mercurio fue nombrado por los romanos después de su dios Mercurio, que era el mensajero de los dioses en la mitología romana. Los griegos lo llamaban Hermes, y también era el mensajero de los dioses en la mitología griega.",mercurio_descubrimiento
¿Por qué Mercurio fue un planeta difícil de descubrir?,mercurio ser planeta dificil descubrir,"Mercurio fue un planeta difícil de descubrir debido a que siempre se encuentra cerca del Sol en el cielo, lo que dificulta su visibilidad. Además, su órbita es relativamente rápida, por lo que se mueve rápidamente a través del cielo. Por estas razones, los astrónomos antiguos no pudieron observar Mercurio con suficiente detalle como para identificarlo como un planeta individual y no simplemente una estrella más cercana al Sol.",mercurio_descubrimiento
¿Qué tecnologías se utilizaron para descubrir Mercurio?,tecnologia utilizar descubrir mercurio,"El descubrimiento de Mercurio fue posible gracias a la invención del telescopio, que permitió a los astrónomos observar el cielo con mayor detalle. También se utilizó la fotografía astronómica para documentar las observaciones y realizar mediciones más precisas.",mercurio_descubrimiento
¿Cuánto tarda Mercurio en rotar sobre su propio eje?,cuanto tardar mercurio rotar propio eje,Mercurio tiene una rotación lenta. Tarda aproximadamente 59 días terrestres en completar una rotación sobre su propio eje.,mercurio_rotacion
¿Cuál es el periodo de rotación de Mercurio?,ser periodo rotación mercurio,El periodo de rotación de Mercurio es de aproximadamente 59 días terrestres.,mercurio_rotacion
¿Mercurio tiene una rotación rápida o lenta?,mercurio tener rotación rapida lento,Mercurio tiene una rotación lenta.,mercurio_rotacion
¿Cuánto dura un día en Mercurio?,cuanto durar dia mercurio,Un día en Mercurio dura aproximadamente 59 días terrestres.,mercurio_rotacion
¿Cómo es la rotación de Mercurio?,ser rotación mercurio,La rotación de Mercurio es lenta y compleja debido a su órbita y su tamaño relativamente pequeño.,mercurio_rotacion
¿Mercurio rota en sentido horario o antihorario?,mercurio rotar horario antihorario,"Mercurio rota en sentido horario, lo que significa que su día es más largo que su año.",mercurio_rotacion
¿Por qué la rotación de Mercurio es tan lenta?,rotación mercurio ser lento,La rotación de Mercurio es lenta debido a su órbita excéntrica y su pequeño tamaño.,mercurio_rotacion
¿La rotación de Mercurio es sincrónica?,rotación mercurio ser sincronizar,"La rotación de Mercurio es casi sincrónica, lo que significa que su periodo de rotación es casi igual a su periodo orbital.",mercurio_rotacion
¿Cuál es la velocidad de rotación de Mercurio?,ser velocidad rotación mercurio,La velocidad de rotación de Mercurio es de aproximadamente 10.83 kilómetros por hora en su ecuador.,mercurio_rotacion
¿La rotación de Mercurio afecta su temperatura?,rotación mercurio afectar temperatura,"La rotación de Mercurio afecta su temperatura, ya que su lado diurno puede alcanzar temperaturas muy altas mientras que su lado nocturno puede ser extremadamente frío.",mercurio_rotacion
¿Cuál es la órbita de Mercurio?,ser orbita mercurio,La órbita de Mercurio es elíptica y su distancia media al sol es de aproximadamente 57.9 millones de kilómetros.,mercurio_orbita
¿A qué distancia está Mercurio del sol?,distanciar mercurio sol,Mercurio se encuentra a una distancia media del sol de aproximadamente 57.9 millones de kilómetros.,mercurio_orbita
¿Cuánto tarda Mercurio en dar una vuelta al sol?,cuanto tardar mercurio dar vuelta sol,Mercurio tarda alrededor de 88 días terrestres en dar una vuelta completa alrededor del sol.,mercurio_orbita
¿Cuál es la forma de la órbita de Mercurio?,ser forma orbita mercurio,La forma de la órbita de Mercurio es elíptica.,mercurio_orbita
¿Mercurio tiene una órbita elíptica?,mercurio tener orbita elíptico,"Sí, la órbita de Mercurio es elíptica.",mercurio_orbita
¿Cuál es el periodo orbital de Mercurio?,ser periodo orbital mercurio,El periodo orbital de Mercurio es de aproximadamente 88 días terrestres.,mercurio_orbita
¿Cuál es la velocidad orbital de Mercurio?,ser velocidad orbital mercurio,La velocidad orbital promedio de Mercurio es de aproximadamente 47.87  Kilometros sobre segundo.,mercurio_orbita
¿Cuál es la excentricidad de la órbita de Mercurio?,ser excentricidad orbita mercurio,La excentricidad de la órbita de Mercurio es de aproximadamente 0.21.,mercurio_orbita
¿Cuál es el perihelio de la órbita de Mercurio?,ser perihelio orbita mercurio,El perihelio de la órbita de Mercurio es de aproximadamente 46 millones de kilómetros.,mercurio_orbita
¿Cuál es el afelio de la órbita de Mercurio?,ser feliz orbita mercurio,El afelio de la órbita de Mercurio es de aproximadamente 69.8 millones de kilómetros.,mercurio_orbita
¿Cuáles son las características de la superficie de Mercurio?,ser caracteristica superficie mercurio,"La superficie de Mercurio está compuesta principalmente de cráteres, montañas, llanuras y cañones.",mercurio_superficie
¿Qué tipo de terreno tiene la superficie de Mercurio?,tipo terreno tener superficie mercurio,"La superficie de Mercurio es rocosa y árida, con muchas llanuras cubiertas de polvo y cráteres de impacto.",mercurio_superficie
